,State,Accidents
0,CA,95893
1,FL,23584
2,TX,19424
3,NC,17700
4,SC,16854
5,NY,16762
6,PA,12966
7,AZ,12737
8,VA,12549
9,OR,11903
10,IL,9775
11,MN,8859
12,MD,8765
13,TN,8332
14,OH,7992
15,CO,6856
16,GA,6713
17,OK,6528
18,LA,6325
19,UT,6273
20,NJ,5332
21,AL,5148
22,WA,4832
23,MI,4265
24,MA,4245
25,MO,3401
26,IN,2568
27,KY,2299
28,CT,1888
29,WI,1656
30,DC,1060
31,DE,945
32,NE,883
33,RI,881
34,NV,795
35,KS,777
36,IA,643
37,NH,509
38,MS,310
39,NM,297
40,AR,187
41,ID,154
42,ME,87
43,VT,70
44,WV,55
45,WY,11
46,ND,1
47,SD,1
48,MT,1
