,Start_Lat,Start_Lng,Street,City,State,Accidents
183041,45.55981,-122.17327, E Historic Columbia River Hwy,Corbett,OR,95
182577,45.53161,-122.25303999999998, E Larch Mountain Rd,Corbett,OR,86
107560,37.81053,-122.36464,I-80 W,San Francisco,CA,74
122313,38.91678,-76.93264,Kenilworth Ave S,Capitol Heights,MD,64
137366,39.98935,-75.20638000000002,I-76 E,Philadelphia,PA,61
100479,37.35497,-77.41335,W Hundred Rd,Chester,VA,61
80401,35.30505,-80.85837, Beatties Ford Rd,Charlotte,NC,58
123657,39.01045,-77.1508,I-270 Spur N,Bethesda,MD,57
101585,37.44349,-77.5813,Courthouse Rd,Richmond,VA,55
98724,37.14435,-121.98468,Santa Cruz Hwy,Los Gatos,CA,52
123782,39.01708,-77.10181999999998,Capital Beltway E,Bethesda,MD,48
2191,26.3124,-80.11719000000002,I-95 N,Deerfield Beach,FL,48
147609,40.75327,-74.21083,Garden State Pkwy N,East Orange,NJ,46
1738,26.13499,-80.1695,I-95 S,Fort Lauderdale,FL,43
26646,32.33748,-111.0468,N Thornydale Rd,Tucson,AZ,43
102123,37.49268,-77.48839,Warwick Rd,Richmond,VA,42
110409,38.01936,-121.93743, Canal Rd,Pittsburg,CA,42
89291,36.045174,-86.659058,Bell Rd,Antioch,TN,42
121975,38.89568,-76.84866,Capital Beltway S,Hyattsville,MD,41
1639,26.1071,-80.16878,I-95 S,Fort Lauderdale,FL,41
579,25.787006,-80.20058399999998,NW 13th St,Miami,FL,40
33464,32.92409,-96.77748,LBJ Express,Dallas,TX,40
102761,37.52942,-77.48538,Westover Hills Blvd,Richmond,VA,40
72192,34.8522,-82.45165, W Blue Ridge Dr,Greenville,SC,40
103461,37.56149,-77.37557,N Laburnum Ave,Richmond,VA,39
